ad_id,IR,LT,DIR,WPR
0,370,46,8,1
1,340,48,7,1
2,336,56,6,2
3,364,40,9,2
4,319,106,3,2
5,253,28,9,2
6,249,35,7,1
7,282,31,9,2
8,387,193,2,1
9,354,59,6,1
10,373,124,3,3
11,305,61,5,1
12,272,27,10,1
13,327,109,3,2
14,220,27,8,1
15,200,50,4,2
16,301,37,8,3
17,300,150,2,1
18,318,106,3,1
19,271,135,2,1
20,284,56,5,4
21,376,188,2,1
22,269,89,3,1
23,284,40,7,2
24,332,166,2,1
25,341,48,7,2
26,389,129,3,1
27,249,124,2,1
28,234,23,10,2
29,368,73,5,1
30,311,62,5,1
31,246,41,6,1
32,287,47,6,2
33,333,33,10,1
34,374,93,4,2
35,363,40,9,1
36,312,156,2,1
37,277,46,6,3
38,210,70,3,2
39,347,38,9,2
40,251,62,4,3
41,288,41,7,2
42,339,113,3,2
43,320,32,10,1
44,376,53,7,2
45,355,35,10,2
46,374,187,2,3
47,361,180,2,1
48,357,119,3,1
49,252,42,6,1
