ad_id,IR,LT,DIR,WPR
0,375,75,5,1
1,349,49,7,1
2,212,42,5,4
3,349,49,7,2
4,391,43,9,1
5,395,98,4,1
6,308,30,10,1
7,394,78,5,1
8,344,86,4,2
9,307,153,2,2
10,274,91,3,1
11,279,46,6,1
12,257,32,8,1
13,365,40,9,1
14,334,55,6,4
15,265,88,3,1
16,222,55,4,1
17,338,56,6,1
18,358,119,3,2
19,355,177,2,3
20,211,35,6,2
21,200,28,7,1
22,277,69,4,1
23,323,80,4,1
24,363,60,6,3
25,245,81,3,2
26,339,169,2,1
27,296,74,4,3
28,290,58,5,1
29,315,105,3,1
30,270,27,10,1
31,340,68,5,1
32,367,52,7,1
33,284,35,8,3
34,289,72,4,2
35,263,87,3,1
36,227,45,5,1
37,350,175,2,2
38,342,42,8,2
39,202,40,5,2
40,220,24,9,3
41,214,23,9,2
42,245,40,6,3
43,355,39,9,2
44,308,38,8,2
45,303,43,7,2
46,324,162,2,1
47,373,53,7,1
48,328,109,3,1
49,315,39,8,2
50,231,23,10,3
51,272,90,3,4
52,294,42,7,2
53,219,109,2,1
54,382,76,5,1
55,342,34,10,2
