ad_id,IR,LT,DIR,WPR
0,390,130,3,1
1,236,118,2,1
2,364,60,6,2
3,331,165,2,1
4,366,91,4,2
5,382,127,3,1
6,398,56,7,3
7,275,34,8,3
8,375,41,9,3
9,335,167,2,1
10,213,71,3,1
11,206,22,9,3
12,201,67,3,1
13,279,46,6,2
14,346,173,2,1
15,309,61,5,2
16,252,84,3,1
17,284,40,7,3
18,314,157,2,1
19,297,148,2,1
20,327,46,7,3
21,257,42,6,2
22,226,56,4,2
23,393,131,3,1
24,318,45,7,3
25,226,45,5,2
26,283,141,2,1
27,289,72,4,2
28,337,56,6,2
29,249,41,6,2
30,265,88,3,1
31,210,70,3,1
32,387,193,2,1
33,239,47,5,2
34,351,58,6,2
35,366,73,5,2
36,297,33,9,3
37,332,110,3,1
38,258,86,3,1
39,204,68,3,1
40,223,31,7,3
41,337,112,3,1
42,396,99,4,2
43,398,199,2,1
44,336,112,3,1
45,354,44,8,3
46,346,86,4,2
47,363,72,5,2
