ad_id,IR,LT,DIR,WPR
0,258,51,5,2
1,393,196,2,1
2,207,51,4,2
3,305,50,6,2
4,243,40,6,2
5,217,36,6,2
6,367,40,9,3
7,359,179,2,1
8,306,102,3,1
9,242,80,3,1
10,283,31,9,4
11,264,132,2,1
12,249,83,3,1
13,365,182,2,1
14,259,86,3,1
15,349,58,6,2
16,329,82,4,2
17,310,103,3,1
18,313,156,2,1
19,217,31,7,3
20,330,66,5,2
21,394,65,6,3
22,203,101,2,1
23,294,147,2,1
24,304,25,12,4
25,238,29,8,3
26,344,114,3,1
27,378,126,3,1
28,276,46,6,3
29,215,53,4,2
30,397,198,2,1
31,238,39,6,2
32,266,133,2,1
33,236,39,6,2
34,381,127,3,1
35,284,142,2,1
36,383,191,2,1
37,270,135,2,1
38,309,103,3,1
39,313,104,3,1
40,263,43,6,2
41,358,119,3,1
42,386,64,6,2
43,233,38,6,3
44,227,56,4,2
45,241,20,12,4
46,265,66,4,2
47,309,154,2,1
48,202,67,3,1
49,335,41,8,3
50,227,37,6,2
51,296,74,4,2
52,392,130,3,1
53,238,21,11,4
