ad_id,IR,LT,DIR,WPR
0,376,75,5,1
1,389,97,4,1
2,230,28,8,1
3,318,63,5,1
4,310,77,4,1
5,327,109,3,3
6,211,42,5,3
7,328,46,7,1
8,314,44,7,2
9,251,125,2,1
10,206,41,5,2
11,256,85,3,1
12,314,78,4,1
13,259,51,5,1
14,228,22,10,2
15,282,31,9,2
16,335,47,7,3
17,230,115,2,2
18,377,53,7,2
19,250,50,5,1
20,377,75,5,3
21,273,30,9,2
22,210,26,8,2
23,280,28,10,1
24,396,198,2,2
25,393,131,3,2
26,218,72,3,3
27,371,185,2,1
28,273,68,4,3
29,268,33,8,3
30,387,43,9,2
31,347,43,8,2
32,334,167,2,1
33,366,73,5,1
34,202,50,4,1
35,358,44,8,2
36,317,105,3,2
37,329,32,10,1
38,395,49,8,1
39,227,37,6,2
40,334,55,6,1
41,389,97,4,2
42,301,60,5,2
43,298,49,6,1
44,315,35,9,3
45,390,55,7,3
46,372,41,9,1
47,352,35,10,1
48,265,53,5,1
49,300,37,8,2
50,285,40,7,4
51,267,53,5,2
52,374,46,8,1
53,350,58,6,1
54,349,69,5,2
55,374,46,8,2
56,396,56,7,2
57,234,39,6,2
