ad_id,IR,LT,DIR,WPR
0,320,106,3,3
1,322,80,4,1
2,393,78,5,1
3,264,52,5,1
4,239,59,4,1
5,391,39,10,3
6,200,40,5,1
7,299,99,3,1
8,366,73,5,1
9,239,23,10,3
10,275,34,8,2
11,247,41,6,1
12,240,30,8,1
13,334,33,10,2
14,214,53,4,2
15,283,141,2,3
16,395,43,9,2
17,325,81,4,1
18,342,114,3,1
19,300,150,2,2
20,357,35,10,1
21,378,126,3,1
22,338,42,8,1
23,299,59,5,2
24,243,60,4,1
25,312,78,4,1
26,370,61,6,2
27,286,28,10,2
28,372,41,9,1
29,388,55,7,1
30,248,27,9,2
31,201,50,4,2
32,216,54,4,1
33,308,34,9,1
34,369,92,4,1
35,208,23,9,1
36,227,25,9,1
37,320,53,6,1
38,360,51,7,1
39,241,48,5,1
40,284,71,4,3
41,367,73,5,1
42,328,54,6,1
43,328,109,3,1
44,350,58,6,3
45,238,59,4,3
