ad_id,IR,LT,DIR,WPR
0,373,93,4,1
1,373,74,5,1
2,373,186,2,1
3,234,39,6,1
4,327,32,10,1
5,253,84,3,2
6,364,45,8,2
7,347,34,10,1
8,271,45,6,2
9,299,59,5,2
10,355,35,10,1
11,218,27,8,1
12,317,158,2,1
13,285,40,7,2
14,315,52,6,1
15,268,134,2,2
16,222,27,8,1
17,391,78,5,2
18,352,117,3,2
19,354,88,4,1
20,364,60,6,2
21,277,138,2,3
22,382,191,2,2
23,293,58,5,2
24,243,27,9,1
25,206,41,5,3
26,229,45,5,2
27,290,58,5,1
28,302,151,2,1
29,259,32,8,1
30,329,164,2,1
31,255,25,10,1
32,305,61,5,1
33,269,29,9,3
34,263,37,7,3
35,305,152,2,3
36,285,31,9,1
37,375,187,2,1
38,363,60,6,2
39,270,45,6,2
40,336,33,10,3
41,240,48,5,1
