ad_id,IR,LT,DIR,WPR
0,376,62,6,2
1,361,90,4,2
2,329,164,2,1
3,223,27,8,3
4,292,146,2,1
5,318,45,7,3
6,219,109,2,1
7,355,177,2,1
8,203,67,3,1
9,260,130,2,1
10,318,159,2,1
11,354,177,2,1
12,221,73,3,1
13,272,68,4,2
14,363,72,5,2
15,384,76,5,2
16,355,177,2,1
17,324,54,6,2
18,353,117,3,1
19,275,68,4,2
20,278,25,11,4
21,386,128,3,1
22,335,37,9,3
23,361,60,6,2
24,285,95,3,1
25,233,77,3,1
26,200,18,11,4
27,338,169,2,1
28,335,67,5,2
29,334,111,3,1
30,366,45,8,3
31,276,138,2,1
32,255,42,6,3
33,342,57,6,3
34,279,39,7,3
35,304,152,2,1
36,237,26,9,3
37,315,52,6,2
38,352,44,8,3
39,290,58,5,2
40,261,130,2,1
41,278,92,3,1
42,294,58,5,2
43,286,95,3,1
