ad_id,IR,LT,DIR,WPR
0,352,117,3,1
1,363,90,4,2
2,225,32,7,3
3,256,85,3,1
4,248,124,2,1
5,316,158,2,1
6,219,43,5,2
7,295,98,3,1
8,341,56,6,2
9,213,30,7,3
10,305,152,2,1
11,357,178,2,1
12,249,62,4,2
13,328,54,6,3
14,386,96,4,2
15,321,107,3,1
16,318,159,2,1
17,253,84,3,1
18,400,50,8,3
19,306,102,3,1
20,312,62,5,2
21,315,78,4,2
22,257,28,9,3
23,341,34,10,4
24,254,50,5,2
25,300,100,3,1
26,292,58,5,2
27,302,37,8,3
28,313,28,11,4
29,370,41,9,3
30,307,153,2,1
31,389,194,2,1
32,307,153,2,1
33,320,53,6,3
34,355,177,2,1
35,302,100,3,1
36,322,80,4,2
37,303,50,6,2
38,367,61,6,2
39,299,59,5,2
40,302,100,3,1
41,287,143,2,1
42,363,121,3,1
43,269,44,6,2
44,366,122,3,1
45,228,32,7,3
46,285,95,3,1
47,355,118,3,1
48,217,108,2,1
49,305,50,6,2
