ad_id,IR,LT,DIR,WPR
0,313,39,8,1
1,275,39,7,1
2,286,57,5,3
3,389,55,7,3
4,390,130,3,1
5,306,30,10,1
6,212,53,4,3
7,289,72,4,2
8,299,33,9,2
9,247,61,4,3
10,314,31,10,1
11,299,49,6,1
12,279,34,8,3
13,288,48,6,1
14,257,32,8,2
15,260,130,2,2
16,234,23,10,2
17,385,192,2,1
18,257,36,7,1
19,343,34,10,1
20,349,116,3,1
21,317,158,2,3
22,270,67,4,2
23,377,125,3,1
24,386,193,2,3
25,276,92,3,1
26,224,37,6,3
27,323,53,6,3
28,243,24,10,3
29,285,95,3,3
30,313,39,8,2
31,239,26,9,2
32,392,130,3,1
33,276,55,5,2
34,384,76,5,1
35,285,28,10,1
36,378,54,7,1
37,317,63,5,2
38,216,108,2,2
39,314,52,6,2
40,311,31,10,3
41,274,45,6,4
42,268,26,10,1
43,313,62,5,1
