ad_id,IR,LT,DIR,WPR
0,278,30,9,4
1,298,59,5,2
2,273,39,7,3
3,227,56,4,2
4,374,124,3,1
5,398,66,6,2
6,308,102,3,1
7,288,96,3,1
8,234,33,7,3
9,374,124,3,1
10,290,96,3,1
11,262,87,3,1
12,242,121,2,1
13,330,110,3,1
14,325,162,2,1
15,347,86,4,2
16,266,53,5,2
17,280,31,9,3
18,318,53,6,2
19,286,143,2,1
20,220,36,6,2
21,200,100,2,1
22,249,83,3,1
23,233,77,3,1
24,343,171,2,1
25,316,39,8,3
26,314,52,6,3
27,324,162,2,1
28,244,40,6,2
29,343,171,2,1
30,302,151,2,1
31,379,42,9,3
32,288,57,5,2
33,370,61,6,2
34,358,59,6,2
35,275,91,3,1
36,313,78,4,2
37,355,118,3,1
38,255,28,9,4
39,304,101,3,1
40,205,68,3,1
41,254,127,2,1
