ad_id,IR,LT,DIR,WPR
0,378,189,2,3
1,282,141,2,2
2,221,24,9,2
3,275,55,5,2
4,351,39,9,1
5,318,63,5,1
6,291,36,8,2
7,366,45,8,1
8,203,25,8,2
9,251,27,9,1
10,210,26,8,3
11,304,38,8,1
12,266,29,9,1
13,228,28,8,3
14,298,49,6,1
15,209,69,3,1
16,254,31,8,1
17,349,34,10,2
18,261,29,9,2
19,251,50,5,2
20,268,29,9,3
21,223,24,9,3
22,278,30,9,2
23,396,198,2,3
24,238,59,4,2
25,248,27,9,1
26,258,43,6,4
27,334,83,4,2
28,393,49,8,4
29,313,78,4,1
30,211,42,5,2
31,280,40,7,1
32,383,127,3,1
33,208,41,5,1
34,343,42,8,3
35,263,131,2,1
36,311,34,9,4
37,228,114,2,1
38,228,25,9,1
39,393,131,3,3
40,292,36,8,3
41,203,101,2,2
42,296,59,5,3
43,326,32,10,1
44,312,156,2,1
45,318,79,4,3
46,235,117,2,1
47,208,29,7,1
48,259,32,8,3
49,232,29,8,1
50,388,55,7,1
51,202,101,2,1
