ad_id,IR,LT,DIR,WPR
0,211,21,10,4
1,326,81,4,2
2,286,95,3,1
3,269,134,2,1
4,272,136,2,1
5,267,53,5,2
6,400,100,4,2
7,343,38,9,3
8,358,89,4,2
9,241,80,3,1
10,367,183,2,1
11,201,100,2,1
12,327,81,4,2
13,341,48,7,3
14,369,92,4,2
15,256,51,5,2
16,354,35,10,4
17,364,121,3,1
18,221,24,9,3
19,247,123,2,1
20,330,47,7,3
21,400,80,5,2
22,258,129,2,1
23,304,101,3,1
24,236,39,6,3
25,363,121,3,1
26,235,117,2,1
27,203,101,2,1
28,333,55,6,3
29,328,164,2,1
30,381,95,4,2
31,350,87,4,2
32,352,35,10,4
33,278,92,3,1
34,383,127,3,1
35,284,142,2,1
36,253,126,2,1
37,390,78,5,2
38,294,98,3,1
39,300,100,3,1
40,357,119,3,1
41,237,118,2,1
42,267,66,4,2
43,301,50,6,2
44,373,53,7,3
45,350,50,7,3
46,238,79,3,1
47,298,42,7,3
48,371,185,2,1
49,297,59,5,2
50,302,151,2,1
51,314,52,6,2
52,314,44,7,3
53,208,41,5,2
54,226,75,3,1
55,336,67,5,2
