ad_id,IR,LT,DIR,WPR
0,381,127,3,2
1,317,31,10,1
2,381,63,6,3
3,365,121,3,2
4,360,51,7,2
5,358,44,8,1
6,291,72,4,3
7,399,57,7,2
8,244,81,3,3
9,338,56,6,1
10,317,35,9,1
11,225,75,3,1
12,262,87,3,2
13,383,47,8,2
14,256,51,5,1
15,266,53,5,1
16,220,36,6,1
17,350,70,5,1
18,377,53,7,2
19,332,33,10,1
20,277,138,2,2
21,338,56,6,2
22,350,50,7,4
23,398,56,7,2
24,390,130,3,2
25,298,74,4,1
26,295,147,2,2
27,219,43,5,1
28,274,68,4,1
29,357,59,6,1
30,230,25,9,2
31,324,40,8,1
32,346,69,5,2
33,396,66,6,1
34,348,34,10,2
35,240,24,10,1
36,210,70,3,1
37,265,37,7,1
38,228,22,10,3
39,246,41,6,2
