ad_id,IR,LT,DIR,WPR
0,227,37,6,2
1,352,88,4,2
2,316,105,3,1
3,289,144,2,1
4,356,71,5,2
5,314,52,6,3
6,306,153,2,1
7,374,41,9,3
8,350,175,2,1
9,233,58,4,2
10,286,31,9,3
11,382,54,7,3
12,287,143,2,1
13,298,49,6,2
14,254,84,3,1
15,259,129,2,1
16,238,79,3,1
17,287,143,2,1
18,297,148,2,1
19,276,92,3,1
20,202,50,4,2
21,271,30,9,3
22,204,25,8,3
23,381,63,6,2
24,322,161,2,1
25,266,133,2,1
26,238,59,4,2
27,228,57,4,2
28,294,49,6,3
29,339,42,8,3
30,253,25,10,4
31,237,39,6,2
32,218,21,10,4
33,376,125,3,1
34,321,160,2,1
35,238,119,2,1
36,260,130,2,1
37,337,112,3,1
38,200,50,4,2
39,284,94,3,1
40,229,57,4,2
41,372,186,2,1
42,271,135,2,1
43,240,21,11,4
44,392,130,3,1
45,312,104,3,1
