ad_id,IR,LT,DIR,WPR
0,308,154,2,1
1,317,105,3,1
2,331,165,2,1
3,390,130,3,1
4,274,45,6,3
5,235,117,2,1
6,328,164,2,1
7,273,68,4,2
8,340,56,6,2
9,200,66,3,1
10,209,41,5,2
11,311,155,2,1
12,291,72,4,2
13,299,74,4,2
14,366,61,6,3
15,325,108,3,1
16,395,197,2,1
17,272,68,4,2
18,309,51,6,3
19,277,30,9,4
20,314,157,2,1
21,247,123,2,1
22,280,35,8,3
23,334,167,2,1
24,247,82,3,1
25,280,93,3,1
26,363,30,12,4
27,249,62,4,2
28,299,49,6,2
29,269,44,6,2
30,400,133,3,1
31,291,29,10,4
32,352,39,9,3
33,384,128,3,1
34,273,39,7,3
35,267,33,8,3
36,232,46,5,2
37,343,38,9,4
38,310,103,3,1
39,253,23,11,4
40,259,37,7,3
41,267,53,5,2
42,233,77,3,1
43,200,50,4,2
44,246,35,7,3
45,265,33,8,3
46,255,85,3,1
47,390,65,6,2
48,287,35,8,3
49,228,45,5,2
50,239,79,3,1
51,388,129,3,1
52,202,50,4,2
53,281,46,6,3
54,214,107,2,1
55,246,41,6,2
56,291,145,2,1
57,300,50,6,2
