ad_id,IR,LT,DIR,WPR
0,347,173,2,1
1,299,149,2,3
2,258,129,2,2
3,276,92,3,1
4,251,27,9,1
5,275,68,4,1
6,288,48,6,3
7,350,38,9,1
8,400,50,8,1
9,309,103,3,2
10,382,47,8,1
11,250,83,3,2
12,297,74,4,2
13,337,33,10,2
14,298,49,6,2
15,369,184,2,2
16,345,69,5,2
17,222,74,3,1
18,232,116,2,1
19,256,128,2,2
20,288,32,9,2
21,398,56,7,2
22,217,36,6,3
23,383,54,7,2
24,338,42,8,2
25,296,98,3,2
26,205,22,9,2
27,212,30,7,1
28,247,123,2,2
29,267,33,8,3
30,341,170,2,4
31,319,63,5,1
32,319,79,4,1
33,318,39,8,3
34,231,115,2,2
35,261,87,3,2
36,269,29,9,1
37,303,33,9,4
38,241,30,8,1
39,316,105,3,1
40,393,98,4,4
41,356,50,7,1
42,292,29,10,3
43,321,40,8,1
44,236,33,7,1
45,378,47,8,2
46,364,121,3,3
47,378,37,10,1
48,349,49,7,3
49,384,64,6,3
50,326,163,2,2
51,301,43,7,1
52,267,44,6,2
53,278,34,8,2
