ad_id,IR,LT,DIR,WPR
0,222,31,7,3
1,381,95,4,2
2,327,54,6,2
3,366,40,9,3
4,203,18,11,4
5,316,158,2,1
6,304,76,4,2
7,202,67,3,1
8,276,92,3,1
9,255,127,2,1
10,368,92,4,2
11,284,71,4,2
12,258,36,7,3
13,223,111,2,1
14,386,128,3,1
15,340,48,7,3
16,311,155,2,1
17,367,73,5,2
18,251,62,4,2
19,329,36,9,3
20,326,108,3,1
21,298,99,3,1
22,257,51,5,2
23,341,37,9,3
24,244,61,4,2
25,396,132,3,1
26,331,82,4,2
27,309,103,3,1
28,237,118,2,1
29,260,52,5,2
30,214,107,2,1
31,270,67,4,2
32,286,71,4,2
33,354,88,4,2
34,399,66,6,2
35,254,42,6,3
36,368,40,9,3
37,323,53,6,2
38,265,26,10,4
39,397,99,4,2
