ad_id,IR,LT,DIR,WPR
0,362,51,7,3
1,364,121,3,1
2,325,54,6,1
3,206,25,8,1
4,326,32,10,1
5,241,30,8,1
6,345,43,8,1
7,327,46,7,3
8,377,47,8,1
9,350,116,3,1
10,310,31,10,3
11,204,29,7,1
12,305,152,2,2
13,268,134,2,1
14,245,27,9,2
15,333,37,9,1
16,263,52,5,3
17,293,48,6,1
18,333,83,4,3
19,388,38,10,2
20,314,52,6,2
21,303,75,4,2
22,387,77,5,3
23,278,69,4,2
24,225,56,4,4
25,332,33,10,3
26,311,155,2,2
27,348,34,10,1
28,284,142,2,3
29,330,82,4,1
30,395,65,6,1
31,317,35,9,2
32,302,151,2,2
33,325,36,9,2
34,249,27,9,2
35,346,34,10,4
36,201,33,6,1
37,326,65,5,1
38,210,42,5,1
39,227,25,9,2
40,337,37,9,1
41,384,54,7,1
42,303,43,7,1
43,248,31,8,3
44,312,44,7,2
45,293,97,3,3
46,265,88,3,1
47,332,83,4,2
